id,period,dur,title,client,location,branch,desc
10,06/2018–10/2018,5 months,Aesthetic classification of Airbnb photos,AirDNA,Remote,Travel,"A microservice that scores the quality of Airbnb photos: a Python scraper built an image database (~15k images), labelling via Amazon Mechanical Turk, exploratory data analysis in R; trained a CNN with transfer learning (Keras, ResNet50) on an AWS GPU instance and deployed it as a Spring Boot microservice with DeepLearning4J."
11,08/2017–03/2019,20 months,Connected Van — driver's logbook,Volkswagen,Remote,Automotive,Microservices for vehicle geolocation and a fuel logbook.
12,04/2017–07/2017,4 months,Invoice management platform (SME) — ML,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Insurance, Finance, Startup","Data analysis; prototype for predicting incoming payments (ML)."
13,07/2015–07/2017,25 months,Invoice management platform (SME),Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Insurance, Finance, Startup","Platform covering the full invoice life cycle (creation, payment, dunning, debt collection); a range of Spring Boot microservices."
14,02/2015–06/2015,5 months,Invoice management platform (SME) — debt-collection integration,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Insurance, Finance, Startup",Microservice integrating a debt-collection provider, including a single-page admin front-end.
15,01/2015–02/2015,2 months,Invoice management platform (SME) — OAuth2 service,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Insurance, Finance, Startup",OAuth2 microservice with an administration front-end.
16,09/2014–12/2014,4 months,Invoice management platform (SME) — prototype,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Insurance, Finance, Startup","Evaluation of microservices and SPA approaches, prototype for an invoice management platform."
17,01/2014–08/2014,8 months,Vehicle configurator prototype,Audi,Remote,Automotive,"SPA on AngularJS (front-end) with a Spring back-end and a RESTful API; comparison of persistence approaches (MySQL, MongoDB, Neo4j)."
18,06/2012–12/2013,19 months,Business services for a booking and reservation system,Deutsches Reisebüro (DER),Frankfurt a. Main,Travel,Implementation of business services as part of the re-build of a booking and reservation system.
19,05/2011–04/2012,12 months,QR-code based payment solution,Paycoo Ltd.,London,"Finance, Startup",Money transfer between accounts by scanning a QR code; hybrid app (GWT) embedded in native mobile apps for broad platform coverage.
20,10/2010–02/2011,5 months,Entry testing (EntryCheck) of application server environments,Deutsche Telekom,Darmstadt,Telecommunications,Test environment for the technical entry testing of runtime environments (build and deployment) for a large Java EE enterprise application.
21,04/2010–09/2010,6 months,Web services on an ESB (mediation and rating),1&1,Montabaur,Telecommunications,"Software design, web services, maintenance of the rating engine; web services that hand invoices over to **SAP**."
22,05/2009–03/2010,11 months,Master data migration at a major bank,Commerzbank,Frankfurt a. Main,"Banking, Finance","Workflows for persisting master data, a canonical XML model, RDF description for machine processing."
