id,period,dur,title,client,location,branch,roles,desc,tech
10,06/2018–10/2018,5 Monate,Bildästhetik-Klassifizierung von Airbnb-Fotos,AirDNA,Remote,Touristik,Machine Learning; Data Analysis,"Microservice zur Qualitätsbewertung von Airbnb-Fotos: Python-Scraper baute eine Bilddatenbank (~15k Bilder), Labeling über Amazon Mechanical Turk, explorative Datenanalyse in R; CNN mit Transfer Learning (Keras, ResNet50) auf AWS-GPU-Instanz trainiert, über DeepLearning4J als Spring-Boot-Microservice deployt.",Python; Keras; ResNet50; CNN; Transfer Learning; DeepLearning4J; Spring Boot; R; AWS; GPU; Jenkins; Amazon Mechanical Turk; Webscraping; Microservices
11,08/2017–03/2019,20 Monate,Connected Van — Fahrtenbuch,Volkswagen,Remote,Automobil,Backend-Entwicklung,Microservices für Geolocation von Fahrzeugen und Tanklogbuch.,Spring Boot; Docker; Kubernetes; Microservices; REST; Java; Maven; Swagger; OpenAPI; Feign; Sleuth; Zipkin; MySQL; MongoDB; Jira; Confluence; JUnit; TDD; Mockito; Microsoft Azure; Kibana; Spring; Git; Kafka
12,04/2017–07/2017,4 Monate,Rechnungsmanagement-Plattform (KMU) — ML,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Versicherung, Finanz, Startup",Machine Learning; Data Analysis,Datenanalyse; Prototyp zur Vorhersage von Zahlungseingängen (ML).,Python; R; ggplot; scikit-learn; pandas; numpy; seaborn; RMarkdown; Jupyter; Git
13,07/2015–07/2017,25 Monate,Rechnungsmanagement-Plattform (KMU),Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Versicherung, Finanz, Startup",Fullstack-Entwicklung,"Plattform für den vollen Rechnungs-Lebenszyklus (Erstellung, Zahlung, Mahnwesen, Inkasso); diverse Spring-Boot-Microservices.",Spring Boot; Docker; Kubernetes; Microservices; REST; Java; Maven; Spring Security; OAuth2; Spring Integration; MongoDB; Jira; Confluence; JUnit; TDD; Mockito; Selenium; AngularJS; Grunt; npm; Spring; Git
14,02/2015–06/2015,5 Monate,Rechnungsmanagement-Plattform (KMU) — Inkasso-Anbindung,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Versicherung, Finanz, Startup",Fullstack-Entwicklung,Microservice zur Anbindung eines Inkasso-Anbieters inkl. SinglePage-Admin-Frontend.,Spring Boot; Docker; Kubernetes; Microservices; REST; Java; Maven; Spring Security; OAuth2; Spring Integration; MongoDB; Jira; Confluence; JUnit; TDD; Mockito; Selenium; AngularJS; Grunt; npm; Spring; Git
15,01/2015–02/2015,2 Monate,Rechnungsmanagement-Plattform (KMU) — OAuth2-Service,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Versicherung, Finanz, Startup",Fullstack-Entwicklung,OAuth2-Microservice mit Administrationsfrontend.,Spring Boot; Docker; Microservices; REST; Java; Maven; Spring Security; OAuth2; MongoDB; AngularJS; Git
16,09/2014–12/2014,4 Monate,Rechnungsmanagement-Plattform (KMU) — Prototyp,Deutsche Verrechnungstelle / DVAG,Frankfurt a. Main,"Versicherung, Finanz, Startup",Fullstack-Entwicklung; Konzeption; Prototyping; Build- & Konfigurationsmanagement,"Evaluierung Microservices / SPA, Prototyp für eine Rechnungsverwaltungsplattform.",Java; JavaScript; HTML; CSS; Spring; Bootstrap; AngularJS; Grunt; npm; Spring Boot; Docker; Kubernetes; Microservices; REST; Maven; Spring Security; MongoDB; Jira; Confluence; Git
17,01/2014–08/2014,8 Monate,Prototyp Fahrzeugkonfigurator,Audi,Remote,Automobil,Fullstack-Entwicklung; Konzeption; Prototyping; Build- & Konfigurationsmanagement,"SPA auf Basis AngularJS (Frontend) + Spring (Backend), RESTful API; Vergleich von Persistierungsansätzen (MySQL, MongoDB, Neo4j).",Java; JavaScript; HTML; CSS; Bootstrap; Spring; Spring Security; Spring Data; MongoDB; Neo4j; MySQL; Maven; Tomcat; JUnit; TDD; Mockito; Selenium; Jira; Git
18,06/2012–12/2013,19 Monate,Businessservices für ein Buchungs- & Reservierungssystem,Deutsches Reisebüro (DER),Frankfurt a. Main,Touristik,Backend-Entwicklung,Implementierung von Businessservices im Rahmen der Neuimplementierung eines Buchungs- und Reservierungssystems.,Java; JUnit; TDD; Mockito; Spring; SOAP; Webservices; Jira; Maven
19,05/2011–04/2012,12 Monate,Payment-Lösung auf Basis von QR-Codes,Paycoo Ltd.,London,"Finanz, Startup",Fullstack-Entwicklung; Konzeption; Build- & Konfigurationsmanagement,Geldtransfer zwischen Konten per QR-Code-Scan; Hybrid-App (GWT) eingebettet in native Mobile-Apps für breite Plattformabdeckung.,Java; JUnit; TDD; Mockito; GWT; Phonegap; Spring; Spring Security; JPA; REST; ZXing; PayPal API; Maven; AWS EC2; AWS VPC; Jenkins; Artifactory
20,10/2010–02/2011,5 Monate,Antest (EntryCheck) von Applikationsserver-Umgebungen,Deutsche Telekom,Darmstadt,Telekommunikation,Jenkins-Pluginentwicklung; Maven-Pluginentwicklung,Testumgebung zum technischen Antesten von Laufzeitumgebungen (Build & Deployment) für eine große Java-EE-Unternehmensanwendung.,Java; Maven; Jenkins; Groovy; Subversion (SVN)
21,04/2010–09/2010,6 Monate,Webservices auf einem ESB (Mediation & Rating),1&1,Montabaur,Telekommunikation,Backend-Entwicklung,"Softwaredesign, Webservices, Pflege/Wartung der Rating-Engine; Webservices zur Rechnungsübergabe an SAP.",Java; Spring; Spring Security; JPA; Hibernate; Maven; JUnit; TDD; Mockito; DBUnit; ServiceMix; Webservices; CXF; XFire; SAP-Anbindung; SAP BAPI; JBoss; Oracle; Subversion (SVN)
22,05/2009–03/2010,11 Monate,Migration der Stammdatenverwaltung einer Großbank,Commerzbank,Frankfurt a. Main,"Bank, Finanz",Backend-Entwicklung,"Workflows zur Persistierung von Stammdaten, kanonisches XML-Modell, RDF-Beschreibung für maschinelle Verarbeitung.",Java; Java EE; IBM MDM (WCC); EJB; JPA; RDF; XML; Oracle; Subversion (SVN)
